"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","29","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","20","1","0.000000","0","0"
"/Game/Assets/Materials/Shiny_Orange.Shiny_Orange","0","15","15","1","10.929213","0","0"
"/Game/Assets/Supply/Armor/Default.Default","0","15","15","1","10.932495","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Pistol_MuzzleFlash_4x1_A.M_Pistol_MuzzleFlash_4x1_A","0","26","26","1","14.901419","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Pistol_Streaks_01.M_Pistol_Streaks_01","0","26","26","1","15.923084","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Pop_01.M_Pop_01","0","26","26","1","15.834857","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Plasma_01.M_Plasma_01","0","26","26","1","16.430113","0","0"
"/Niagara/DefaultAssets/DefaultRIbbonMaterial.DefaultRibbonMaterial","0","0","42","1","0.000000","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_AssaultRifle_MuzzleFlash_4x1.M_AssaultRifle_MuzzleFlash_4x1","0","26","26","1","16.731869","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","24","1","0.000000","0","0"
"/DatasmithContent/Materials/FBXImporter/DeltaGenMasterClearCoat.DeltaGenMasterClearCoat","0","0","15","1","0.000000","0","0"
"/DatasmithContent/Materials/FBXImporter/DeltaGenMasterTransparent.DeltaGenMasterTransparent","0","0","33","1","0.000000","0","0"
"/Game/Assets/Potion/PotionMaterial.PotionMaterial","0","15","15","1","10.996428","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","208","2","0.000000","0","0"
"/Engine/TemplateResources/M_Template_Master.M_Template_Master","0","0","48","1","0.000000","0","0"
"/Game/ShooterGame/Weapons/Materials/Launcher_MatB.Launcher_MatB","0","105","111","1","148.992294","105","111"
"/Game/SciFiWeapDark/FX/Materials/M_AssualtRifle_Core_01.M_AssualtRifle_Core_01","0","42","42","1","22.029497","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Smoke_8x8_B_01.M_Smoke_8x8_B_01","0","87","87","1","89.428833","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_CrystalRefraction_01.M_CrystalRefraction_01","0","32","32","1","18.021479","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Explosion_8x8_A_01.M_Explosion_8x8_A_01","0","174","174","2","236.698425","0","261"
"/Game/SciFiWeapDark/FX/Materials/M_Tracer_B.M_Tracer_B","0","22","22","1","11.510518","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_SmokeRibbon_01.M_SmokeRibbon_01","0","59","59","1","50.707924","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Shockwave_Refraction_01.M_Shockwave_Refraction_01","0","32","32","1","19.060423","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Tracer_A.M_Tracer_A","0","22","22","1","12.812057","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Shockwave_01.M_Shockwave_01","0","18","18","1","11.113629","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_LightRay_01.M_LightRay_01","0","26","26","1","15.896108","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Ember_Speed_01.M_Ember_Speed_01","0","26","26","1","16.350456","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_RockMesh_01.M_RockMesh_01","0","27","27","1","20.186314","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Woodchips_8x1_01.M_Woodchips_8x1_01","0","87","87","1","80.349503","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_SparksImpact_2x2_01.M_SparksImpact_2x2_01","0","26","26","1","16.488827","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_RockSmall_01.M_RockSmall_01","0","26","26","1","16.630873","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Knife_RibbonTrail_01.M_Knife_RibbonTrail_01","0","26","26","1","14.030015","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_Debris_Tileable_01.M_Debris_Tileable_01","0","87","87","1","78.642822","0","0"
"/Game/SciFiWeapDark/FX/Materials/M_GlowSphere_01.M_GlowSphere_01","0","68","68","2","39.834908","0","0"
"/Game/Geometry/Meshes/Material__29.Material__29","0","15","15","1","11.033680","0","0"
"/Game/Geometry/Meshes/Material__28.Material__28","0","15","15","1","11.354997","0","0"
"/Game/Geometry/Meshes/Material__27.Material__27","0","15","15","1","11.509035","0","0"
"/Game/Geometry/Meshes/Material__26.Material__26","0","15","15","1","11.470944","0","0"
"/Game/Geometry/Meshes/Material__25.Material__25","0","15","15","1","11.733372","0","0"
"/Game/Geometry/Meshes/16_-_Default.16_-_Default","0","15","15","1","11.333992","0","0"
"/Game/Geometry/Meshes/15_-_Default.15_-_Default","0","15","15","1","11.469257","0","0"
"/Game/Geometry/Meshes/Material__31.Material__31","0","15","15","1","11.371729","0","0"
"/Game/Geometry/Meshes/Material__30.Material__30","0","15","15","1","11.258845","0","0"
"/Game/Assets/Materials/Shiny.Shiny","0","15","15","1","10.926507","0","0"
"/Game/Assets/Materials/TranslucentRed.TranslucentRed","0","31","31","1","25.514462","0","0"
"/Game/Assets/Potion/PotionMaterial1.PotionMaterial1","0","15","15","1","11.132338","0","0"
"/Game/Assets/Potion/ArmorMaterial.ArmorMaterial","0","15","15","1","11.312389","0","0"
"/Game/Assets/Meshes/CubeMaterial.CubeMaterial","0","48","48","1","35.041191","0","0"
"/Game/Assets/Materials/Shiny_Cyan.Shiny_Cyan","0","24","24","1","18.263849","0","0"
"/Game/Assets/Hero/Materials/Torso.Torso","0","39","39","1","27.233225","0","0"
